,Loss,S1,S2,S2_Call,S1_Call,S2_Put,S1_Put,Date,Symbol
481,-1745.0,104.0,113.0,0.005,-4.25,-4.21,0.005,2023-04-28,GOOGL
469,-1668.9999999999998,103.0,111.0,0.005,-5.8,-2.9000000000000004,0.005,2023-04-28,GOOGL
337,-1668.9999999999998,103.0,111.0,0.005,-5.8,-2.9000000000000004,0.005,2023-04-14,GOOGL
271,-1668.9999999999998,103.0,111.0,0.005,-5.8,-2.9000000000000004,0.005,2023-04-06,GOOGL
403,-1668.9999999999998,103.0,111.0,0.005,-5.8,-2.9000000000000004,0.005,2023-04-21,GOOGL
433,-1605.5,106.0,114.0,0.005,-2.5149999999999997,-5.55,0.005,2023-04-21,GOOGL
499,-1605.5,106.0,114.0,0.005,-2.5149999999999997,-5.55,0.005,2023-04-28,GOOGL
367,-1605.5,106.0,114.0,0.005,-2.5149999999999997,-5.55,0.005,2023-04-14,GOOGL
301,-1605.5,106.0,114.0,0.005,-2.5149999999999997,-5.55,0.005,2023-04-06,GOOGL
565,-1601.5,100.0,108.0,0.005,-2.05,-5.975,0.005,2023-04-06,AMZN
820,-1601.5,89.0,97.0,0.005,-3.475,-4.550000000000001,0.005,2023-04-06,AMD
744,-1601.5,98.0,106.0,0.005,-4.075,-3.9499999999999997,0.005,2023-04-28,AMZN
829,-1601.5,90.0,98.0,0.005,-2.475,-5.550000000000001,0.005,2023-04-06,AMD
942,-1601.5,88.0,96.0,0.005,-4.475,-3.55,0.005,2023-04-21,AMD
1008,-1601.5,88.0,96.0,0.005,-4.475,-3.55,0.005,2023-04-28,AMD
952,-1601.5,89.0,97.0,0.005,-3.475,-4.550000000000001,0.005,2023-04-21,AMD
763,-1601.5,100.0,108.0,0.005,-2.05,-5.975,0.005,2023-04-28,AMZN
631,-1601.5,100.0,108.0,0.005,-2.05,-5.975,0.005,2023-04-14,AMZN
546,-1601.5,98.0,106.0,0.005,-4.075,-3.9499999999999997,0.005,2023-04-06,AMZN
1027,-1601.5,90.0,98.0,0.005,-2.475,-5.550000000000001,0.005,2023-04-28,AMD
1018,-1601.5,89.0,97.0,0.005,-3.475,-4.550000000000001,0.005,2023-04-28,AMD
810,-1601.5,88.0,96.0,0.005,-4.475,-3.55,0.005,2023-04-06,AMD
886,-1601.5,89.0,97.0,0.005,-3.475,-4.550000000000001,0.005,2023-04-14,AMD
895,-1601.5,90.0,98.0,0.005,-2.475,-5.550000000000001,0.005,2023-04-14,AMD
612,-1601.5,98.0,106.0,0.005,-4.075,-3.9499999999999997,0.005,2023-04-14,AMZN
697,-1601.5,100.0,108.0,0.005,-2.05,-5.975,0.005,2023-04-21,AMZN
876,-1601.5,88.0,96.0,0.005,-4.475,-3.55,0.005,2023-04-14,AMD
961,-1601.5,90.0,98.0,0.005,-2.475,-5.550000000000001,0.005,2023-04-21,AMD
678,-1601.5,98.0,106.0,0.005,-4.075,-3.9499999999999997,0.005,2023-04-21,AMZN
865,-1599.0,87.0,95.0,0.005,-5.475,-2.5250000000000004,0.005,2023-04-14,AMD
799,-1599.0,87.0,95.0,0.005,-5.475,-2.5250000000000004,0.005,2023-04-06,AMD
997,-1599.0,87.0,95.0,0.005,-5.475,-2.5250000000000004,0.005,2023-04-28,AMD
931,-1599.0,87.0,95.0,0.005,-5.475,-2.5250000000000004,0.005,2023-04-21,AMD
754,-1598.0,99.0,107.0,0.005,-3.015,-4.975,0.005,2023-04-28,AMZN
622,-1598.0,99.0,107.0,0.005,-3.015,-4.975,0.005,2023-04-14,AMZN
556,-1598.0,99.0,107.0,0.005,-3.015,-4.975,0.005,2023-04-06,AMZN
688,-1598.0,99.0,107.0,0.005,-3.015,-4.975,0.005,2023-04-21,AMZN
535,-1594.5,97.0,105.0,0.005,-5.025,-2.9299999999999997,0.005,2023-04-06,AMZN
601,-1594.5,97.0,105.0,0.005,-5.025,-2.9299999999999997,0.005,2023-04-14,AMZN
667,-1594.5,97.0,105.0,0.005,-5.025,-2.9299999999999997,0.005,2023-04-21,AMZN
733,-1594.5,97.0,105.0,0.005,-5.025,-2.9299999999999997,0.005,2023-04-28,AMZN
292,-1575.5,105.0,113.0,0.005,-3.555,-4.21,0.005,2023-04-06,GOOGL
490,-1575.5,105.0,113.0,0.005,-3.555,-4.21,0.005,2023-04-28,GOOGL
358,-1575.5,105.0,113.0,0.005,-3.555,-4.21,0.005,2023-04-14,GOOGL
424,-1575.5,105.0,113.0,0.005,-3.555,-4.21,0.005,2023-04-21,GOOGL
282,-1550.0,104.0,112.0,0.005,-4.25,-3.2600000000000002,0.005,2023-04-06,GOOGL
480,-1550.0,104.0,112.0,0.005,-4.25,-3.2600000000000002,0.005,2023-04-28,GOOGL
414,-1550.0,104.0,112.0,0.005,-4.25,-3.2600000000000002,0.005,2023-04-21,GOOGL
348,-1550.0,104.0,112.0,0.005,-4.25,-3.2600000000000002,0.005,2023-04-14,GOOGL
